Question,Answer
"What documents do I need to rent a bike?","You need a valid driving license and a government-issued ID (such as Aadhaar, PAN, or Passport) to rent a bike with RideEasy."
"What are your rental charges?","Our rental charges vary by bike model and duration. You can view all prices on our Bikes page or contact us for a custom quote."
"How do I book a bike?","You can book a bike directly on our website. Just select your preferred bike, choose your dates, and complete the booking form."
"What is your cancellation policy?","You can cancel your booking up to 24 hours before the pickup time for a full refund. Cancellations within 24 hours may incur a fee."
"Do you provide helmets?","Yes, we provide one complimentary helmet with every bike rental. Additional helmets are available on request."
"What payment methods do you accept?","We accept UPI, credit/debit cards, net banking, and cash at pickup."
"Can I extend my rental period?","Yes, you can extend your rental by contacting our support team before your current rental period ends."
"Where is your pickup location?","Our main pickup location is at 123 Bike Street, Bangalore, Karnataka, 560001."
"Is fuel included in the rental price?","No, fuel is not included. You will receive the bike with a certain fuel level and are expected to return it with the same level."
"How do I contact customer support?","You can reach us via WhatsApp, phone, email, or through the chat widget on our website."
"How can I find out the prices of bikes?","You can view the prices for all our bikes on the Bikes page of our website. Simply browse the available models to see their daily and weekly rental rates. If you need a custom quote or have questions about pricing, feel free to contact us through chat or call our support team!" 
